age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry
68,7,12,13,2,2,0,4,1,0,0,46,38
23,3,12,12,5,10,0,4,1,0,0,10,38
42,3,11,9,0,9,1,4,1,3464,0,70,38
32,3,15,13,2,6,1,4,1,0,0,48,38
51,3,11,10,2,3,0,4,1,0,0,60,4
23,7,11,10,2,11,0,4,1,0,0,40,38
33,3,11,9,2,9,0,2,1,0,0,40,38
37,3,15,10,4,6,5,4,0,0,0,35,35
18,3,15,10,2,3,1,4,1,0,0,40,38
66,3,11,13,2,5,3,1,1,0,0,43,38
38,7,15,9,2,3,4,4,1,0,0,52,28
24,4,8,13,2,2,0,2,1,0,0,55,38
34,3,1,7,2,2,0,4,1,0,0,40,38
31,0,14,10,2,2,1,4,1,0,0,48,38
63,3,0,11,2,7,0,2,1,0,0,40,38
26,3,11,10,2,2,5,4,0,0,0,45,38
51,3,1,10,0,9,0,4,1,0,0,48,38
56,5,15,10,4,5,3,4,0,15024,0,40,38
34,3,14,4,2,3,1,1,1,0,0,50,25
28,3,15,9,2,0,0,2,0,0,0,45,38
48,3,8,14,2,13,1,4,1,0,0,50,38
21,3,15,7,2,2,0,2,0,0,0,40,38
57,3,10,9,0,11,0,4,0,0,0,50,38
57,3,1,14,2,14,0,2,1,0,0,50,38
41,3,15,7,2,2,0,4,1,0,0,40,38
52,3,10,9,2,2,0,4,1,0,0,40,38
31,3,11,9,4,6,0,2,0,0,0,50,17
37,3,11,9,4,4,3,4,1,15024,0,32,38
37,5,11,9,2,11,3,4,1,7298,0,35,38
36,3,9,9,0,11,0,4,0,0,0,40,38
36,3,15,9,4,6,0,4,1,99999,0,15,38
28,0,11,10,2,4,5,4,1,0,0,40,38
34,3,9,14,2,0,1,4,1,594,0,40,38
38,1,11,9,0,6,1,4,1,0,0,50,38
35,4,7,9,2,4,0,4,0,0,0,54,38
26,3,8,9,6,13,1,4,0,0,0,40,38
18,7,11,14,2,12,1,4,1,7688,0,38,13
49,3,11,10,2,2,1,4,1,0,0,50,38
57,1,9,12,6,9,1,3,0,0,0,45,38
37,4,15,13,2,12,3,4,0,0,0,40,38
23,3,11,10,2,6,0,4,1,0,0,18,38
53,3,9,14,2,0,4,4,1,0,0,25,39
41,3,15,13,6,7,0,4,0,0,0,37,38
25,3,15,13,4,4,4,4,0,0,0,40,38
47,3,11,10,2,4,4,2,1,0,0,48,38
48,3,1,7,2,7,1,4,1,0,0,34,40
76,3,14,9,4,6,0,4,1,0,0,40,38
25,3,15,9,2,3,0,1,1,0,0,45,38
66,3,8,13,2,12,1,4,1,0,0,16,38
18,3,9,5,6,13,0,2,1,0,0,55,38
49,5,8,9,0,11,1,4,1,0,0,34,38
27,3,15,9,5,13,0,4,0,0,0,19,38
17,3,15,11,4,4,1,4,0,0,0,40,38
28,1,9,6,6,14,2,4,1,0,0,48,38
65,3,11,4,2,11,2,4,1,0,0,50,38
32,3,15,13,5,7,3,4,1,0,0,40,38
29,1,9,9,2,3,3,4,0,0,0,50,38
50,4,11,11,4,11,3,2,1,0,0,40,38
30,3,9,9,0,0,1,4,1,0,0,40,38
20,3,2,8,4,7,2,2,0,0,0,40,38
74,6,11,9,0,11,0,4,1,0,0,40,38
31,3,9,9,2,2,0,4,1,0,3004,50,10
39,3,15,9,4,7,1,2,0,0,0,40,38
19,3,11,4,4,7,3,4,1,0,0,40,38
26,3,14,9,6,5,1,4,0,0,0,40,38
55,3,9,10,0,3,1,4,1,0,0,40,38
35,4,9,8,4,14,0,4,1,0,0,36,3
35,3,11,9,2,0,4,4,1,7688,0,25,38
70,3,11,9,2,11,3,4,0,0,0,3,38
56,3,12,11,0,2,1,4,0,0,1719,32,38
22,5,12,4,0,3,1,4,1,0,0,40,38
46,3,7,11,3,13,1,4,0,0,0,12,4
45,3,11,10,4,3,0,4,1,0,0,20,38
27,3,11,9,4,7,3,4,0,0,1672,36,38
46,3,13,9,4,14,0,4,1,0,0,20,25
34,6,15,9,5,10,0,4,1,0,0,35,38
24,3,9,6,5,9,0,4,1,0,0,60,38
58,0,9,12,4,3,4,4,1,0,0,60,38
47,1,11,10,4,0,3,1,0,0,0,40,38
34,3,15,13,4,12,0,4,0,0,0,45,38
20,3,15,13,2,2,4,4,1,0,0,48,38
30,3,15,13,0,13,0,4,1,0,0,55,38
72,3,0,9,2,7,0,4,1,0,0,55,38
35,3,15,10,2,3,5,4,1,0,0,40,38
38,7,11,11,0,4,0,4,0,0,0,40,38
22,3,11,10,2,0,0,4,0,0,0,45,38
30,5,0,11,2,9,0,4,1,0,0,40,38
41,7,2,9,0,3,4,4,1,0,1590,20,38
43,3,9,10,4,6,0,4,1,0,0,15,38
20,0,11,11,2,3,0,4,1,0,0,40,38
21,6,12,13,0,3,1,4,0,0,0,40,38
35,3,7,13,4,12,5,4,1,0,0,45,19
52,3,11,11,4,12,4,4,1,0,0,50,38
17,7,11,13,2,5,0,4,0,0,0,20,38
22,3,11,10,2,3,0,4,0,0,0,60,32
31,6,11,10,2,2,0,4,0,5013,0,32,38
29,3,15,10,2,2,1,4,0,0,0,40,29
31,3,7,9,4,14,1,1,0,0,0,20,38
36,5,1,14,4,0,1,4,0,0,0,20,38
42,3,11,10,2,11,3,4,1,0,0,40,38
60,3,11,7,6,0,0,4,1,0,0,38,38
40,3,11,13,5,2,3,4,1,0,0,50,10
45,5,15,13,2,5,3,3,1,0,0,5,38
28,3,15,9,2,12,0,2,1,0,0,40,38
31,5,9,9,5,6,0,4,0,0,0,40,38
57,3,7,9,4,0,3,4,1,0,0,48,38
26,3,9,9,4,2,0,4,1,0,0,40,38
32,3,12,10,0,9,0,4,1,0,0,40,38
53,3,9,3,2,2,3,4,0,0,1672,40,38
33,3,12,9,5,7,0,4,1,3908,0,8,38
18,3,11,14,4,9,0,4,1,0,0,50,38
34,1,12,10,4,7,0,4,1,0,0,35,38
22,3,7,13,4,6,5,4,0,0,0,40,38
64,3,11,13,2,0,4,4,1,0,0,54,38
50,4,15,10,2,2,0,4,0,0,0,48,38
27,5,15,9,2,5,1,4,0,0,0,40,38
19,6,11,9,4,2,0,4,0,0,0,40,38
26,3,11,12,4,6,2,4,0,0,0,45,38
38,3,11,14,4,14,4,4,1,0,0,35,38
20,3,4,9,4,6,0,1,0,0,0,45,38
54,3,15,9,4,7,5,4,0,3325,0,50,38
58,3,11,9,4,3,1,4,1,0,0,80,38
21,3,6,10,0,9,1,4,1,0,0,40,38
67,4,11,9,4,12,4,4,1,0,0,50,38
38,3,11,10,0,7,0,4,1,0,0,6,38
44,0,12,13,2,3,4,4,0,0,0,50,38
19,3,11,11,2,12,0,4,1,0,0,40,38
43,3,15,7,0,0,3,4,1,0,0,45,25
35,6,15,9,2,6,1,1,1,0,0,50,38
52,3,15,9,4,5,1,2,1,0,0,45,38
70,3,12,10,4,2,3,4,0,0,0,40,38
42,7,11,10,2,3,0,0,1,0,0,40,38
23,3,9,13,0,4,0,4,1,0,0,40,38
38,7,15,4,6,0,0,4,0,0,0,50,38
80,3,15,9,2,9,0,2,1,0,0,20,38
49,3,15,9,2,2,0,4,0,0,0,48,38
50,3,15,9,2,0,3,4,0,0,0,45,38
65,3,15,9,2,11,3,4,1,0,0,40,38
37,3,11,8,2,5,0,4,1,0,0,48,1
35,6,8,10,0,3,1,4,1,0,0,35,38
34,5,12,13,4,9,1,4,0,0,0,40,38
38,3,12,10,4,9,5,2,1,0,0,41,38
34,3,2,10,2,7,0,4,1,0,0,45,38
48,3,9,14,0,0,1,4,1,0,0,35,38
19,5,11,13,0,2,3,4,0,0,0,40,38
18,5,9,9,0,12,1,4,1,0,0,40,38
57,7,15,10,5,2,1,4,1,0,0,45,38
76,5,15,7,2,7,1,4,0,0,0,65,38
31,1,15,3,0,13,0,4,0,0,0,40,38
54,3,11,10,2,9,1,4,1,0,1602,52,38
56,3,15,9,2,6,1,4,0,7298,0,25,38
29,3,15,9,4,9,4,4,1,0,0,55,38
34,3,8,11,2,7,3,2,1,0,1887,25,38
27,7,15,9,2,13,1,4,1,15831,0,60,25
52,3,9,14,0,9,3,4,1,0,0,40,38
33,3,6,11,2,11,0,4,1,0,0,5,38
33,3,3,9,2,2,5,4,1,0,0,60,38
37,3,15,11,2,11,3,4,0,0,0,99,38
43,3,9,5,2,3,4,4,1,0,0,40,38
43,3,12,9,2,3,1,4,1,0,0,30,38
72,3,11,13,4,11,1,2,1,0,0,40,38
21,3,15,10,2,14,1,4,1,0,0,40,38
21,3,12,9,5,0,0,4,1,0,0,40,38
45,3,11,6,2,2,2,4,1,0,0,37,38
23,3,0,10,2,11,1,4,1,0,0,50,38
30,7,11,9,2,3,0,4,1,0,0,40,38
56,3,9,10,2,7,4,4,0,0,0,40,38
44,3,12,12,2,0,0,4,1,3464,0,40,8
29,3,11,6,3,3,3,4,1,0,0,40,38
42,3,9,11,2,7,1,1,0,0,0,35,38
31,6,13,9,2,2,1,2,0,0,0,20,39
32,3,15,9,6,3,0,4,1,0,0,48,39
22,5,11,9,2,7,0,2,0,0,0,38,38
27,3,8,9,2,11,0,4,1,0,0,40,38
66,4,12,9,4,3,2,4,1,0,0,40,29
27,3,15,11,4,12,0,2,1,0,0,40,38
50,3,11,9,0,7,0,4,0,7688,0,40,38
38,3,11,9,2,11,2,4,1,0,0,38,38
18,3,11,7,4,2,3,1,1,0,0,35,4
31,3,11,9,4,13,0,2,1,0,0,50,38
35,3,11,6,2,13,0,4,1,0,0,40,38
52,3,10,10,2,0,3,4,0,0,0,55,38
23,3,11,6,2,4,1,4,0,0,0,60,38
54,1,11,7,2,2,1,4,1,0,0,40,38
42,4,9,9,6,0,3,4,0,0,0,40,38
57,3,9,9,2,2,1,4,1,0,0,45,38
53,3,11,13,4,0,0,4,1,0,0,8,38
39,3,12,10,2,2,3,4,1,0,0,55,38
50,3,11,13,2,3,4,4,1,0,0,10,38
37,7,11,10,2,9,3,2,1,0,0,35,12
48,3,8,13,2,9,0,4,1,9562,0,50,38
21,4,11,9,4,2,4,4,1,0,0,38,38
61,5,11,13,4,2,0,4,1,0,0,40,38
53,3,12,13,0,12,0,4,0,0,0,65,29
41,7,7,13,4,11,0,4,1,0,0,20,38
67,3,11,9,2,2,1,4,0,0,0,48,38
46,3,15,9,4,0,1,4,1,0,0,30,38
46,3,9,9,2,3,0,4,0,0,0,28,38
43,3,7,10,0,7,0,4,1,0,0,40,38
47,3,15,10,4,11,0,4,1,0,0,42,38
28,6,11,10,4,3,0,4,0,0,0,40,4
46,3,1,9,2,12,4,4,1,0,0,8,38
50,3,4,10,6,3,0,4,0,0,0,45,22
71,3,6,9,2,4,5,4,1,0,0,60,38
22,3,12,14,2,9,0,4,1,0,0,45,38
58,3,11,9,0,5,0,4,0,0,0,40,38
42,6,9,9,4,14,0,4,0,0,1977,40,30
37,3,11,9,2,0,1,2,1,0,1974,60,38
44,3,0,6,2,11,0,4,0,0,0,40,34
24,3,11,10,6,10,0,4,1,0,0,8,38
23,3,12,9,2,3,4,4,1,2387,0,40,38
63,3,9,9,0,9,0,4,1,0,0,20,38
20,1,1,14,4,7,0,4,0,0,0,40,38
21,3,8,9,4,14,3,4,0,0,0,40,38
25,3,11,9,0,14,3,4,1,0,0,44,38
32,3,5,14,0,2,0,4,0,5013,0,40,38
44,3,12,10,0,2,0,4,1,0,0,40,38
58,3,11,9,2,6,0,4,1,0,0,40,38
61,3,15,10,2,4,3,4,1,0,0,40,38
30,6,11,9,2,14,3,4,1,13550,0,70,38
62,1,15,9,2,2,3,4,1,0,0,45,38
37,3,15,13,4,12,0,4,0,0,0,30,38
75,3,5,9,2,7,1,4,1,0,0,40,38
19,3,9,10,4,0,0,4,1,0,0,40,38
48,3,11,14,4,11,0,4,1,0,0,40,38
32,3,15,13,2,3,3,2,1,0,0,60,38
53,1,9,9,4,5,0,1,0,0,0,40,38
53,3,9,9,2,5,0,4,1,0,0,60,38
36,3,9,9,4,2,0,4,1,2174,1590,40,38
65,1,12,10,2,14,1,4,1,0,0,40,38
38,3,15,9,6,11,0,4,1,0,0,40,38
33,5,9,9,2,6,0,4,1,0,0,40,38
25,3,15,7,6,13,0,4,0,0,0,55,38
27,3,6,6,2,9,1,4,0,0,0,60,38
37,3,15,11,4,10,0,4,1,0,0,55,38
61,3,11,10,2,9,1,4,1,7688,0,40,38
64,0,15,10,2,6,1,4,1,0,0,48,38
45,3,9,13,4,11,3,4,1,0,0,40,38
27,3,11,9,2,2,0,4,0,0,0,45,38
33,3,15,13,4,9,3,4,0,0,0,40,38
28,3,11,9,5,11,4,4,0,7298,0,36,38
27,0,6,9,0,3,2,4,0,0,0,40,38
47,5,11,10,2,2,1,4,1,0,0,40,38
31,3,11,5,2,7,0,2,0,0,0,40,38
40,1,15,9,2,10,0,4,0,0,0,40,38
77,3,15,11,4,2,0,2,1,0,0,40,38
20,3,11,10,2,0,1,2,1,0,0,40,38
34,3,12,5,2,0,0,2,0,0,0,45,38
31,1,11,10,4,2,1,4,1,0,0,44,38
25,3,11,9,4,6,1,4,1,0,0,40,38
50,1,11,10,4,0,1,4,0,0,0,60,38
40,3,11,9,2,13,1,4,1,0,0,15,38
43,3,11,10,2,3,1,4,0,0,0,35,38
31,3,11,13,2,7,1,4,0,0,0,40,38
42,3,11,9,2,11,3,4,0,0,0,40,38
27,0,7,9,2,0,3,4,1,0,0,40,38
32,3,9,10,2,2,1,4,0,0,0,20,38
49,3,11,9,3,3,5,4,1,0,0,30,38
31,3,15,10,4,9,0,4,1,0,0,40,38
30,3,15,9,2,0,4,2,1,0,0,40,38
35,3,11,13,4,10,0,4,0,0,0,15,38
56,7,11,10,5,7,1,4,1,3411,0,40,38
21,3,11,9,2,7,1,4,1,0,0,40,38
36,3,7,9,5,2,0,2,1,0,0,40,38
55,3,8,8,4,11,3,4,1,0,0,36,38
60,1,11,13,4,7,0,4,1,0,0,45,38
40,3,11,9,4,10,1,4,0,0,0,45,38
39,3,9,10,2,2,1,4,1,0,0,45,38
30,3,8,9,2,5,3,4,0,0,0,45,38
24,3,11,16,2,6,5,4,0,0,0,70,25
29,3,11,11,0,3,1,2,1,0,0,40,38
53,5,15,10,0,2,0,4,0,0,0,40,38
32,3,15,10,2,2,3,4,1,0,0,40,38
32,3,9,8,2,3,5,4,1,0,0,40,38
26,3,9,10,0,14,0,4,0,0,0,50,38
27,3,15,9,4,2,3,1,1,0,0,25,8
26,3,11,4,2,11,1,4,0,7688,0,46,38
43,3,12,14,2,5,0,4,1,0,0,44,38
23,1,2,10,4,11,3,4,0,0,0,45,38
42,3,9,15,2,13,1,4,0,0,0,60,38
59,6,15,16,2,7,1,4,1,0,0,70,38
27,3,15,10,2,0,0,4,1,0,0,15,38
47,3,7,10,4,0,1,4,0,0,0,40,38
50,0,9,9,2,3,0,4,0,0,1380,65,38
21,3,11,9,4,9,1,4,0,0,0,40,39
46,3,15,9,4,7,0,4,0,0,0,40,38
42,4,15,11,6,6,1,4,1,0,0,48,38
50,3,0,13,2,3,0,4,1,0,0,40,38
25,3,9,10,2,0,0,4,1,0,0,65,38
43,3,11,9,2,2,1,4,1,0,0,35,38
35,3,15,10,2,7,0,4,1,15024,0,40,38
20,3,11,7,2,9,0,4,1,0,0,40,38
34,3,12,9,2,0,0,4,1,0,0,70,38
61,3,15,9,4,2,4,4,1,0,0,25,38
32,4,8,13,0,9,3,4,0,3325,0,45,38
22,3,11,13,2,0,3,2,1,0,0,35,38
51,5,15,12,2,11,4,4,0,0,0,40,38
26,3,9,14,0,9,5,4,1,15024,0,40,38
30,3,15,14,2,6,3,4,1,0,0,40,38
18,3,9,9,4,2,4,4,1,0,0,30,38
47,3,9,11,2,3,0,4,1,0,0,40,38
28,3,1,13,4,4,1,2,1,0,0,36,38
38,3,11,9,2,7,3,4,1,0,0,40,38
20,6,11,7,4,11,5,4,1,0,0,45,38
35,3,5,10,0,9,0,4,1,0,0,55,25
25,3,15,15,4,0,5,4,1,0,0,40,38
39,3,11,9,5,12,0,4,1,0,0,40,38
42,3,15,12,0,5,1,4,1,0,0,10,38
23,5,5,4,4,7,0,4,1,0,0,45,38
67,3,11,10,4,2,0,2,0,0,0,60,38
36,5,11,10,2,2,0,4,0,0,0,45,38
28,3,15,11,4,2,3,4,1,0,0,35,38
26,3,5,10,2,2,0,4,1,0,0,40,38
23,5,15,9,0,7,0,4,1,15024,0,60,38
62,3,9,9,4,7,3,4,0,0,0,40,38
20,0,12,3,2,6,0,4,1,0,0,40,38
39,3,7,9,4,13,3,4,1,0,0,40,38
26,3,15,9,4,6,3,2,1,0,0,40,38
31,1,11,10,4,0,1,4,0,0,0,40,38
23,7,8,14,4,9,0,4,1,0,0,40,38
38,1,11,3,4,13,1,4,1,0,0,45,38
28,3,9,10,6,11,1,2,1,0,0,70,38
41,7,11,10,4,3,0,4,1,0,0,40,38
56,3,11,13,0,3,1,4,1,0,0,5,38
27,3,15,9,2,4,1,4,1,0,0,45,38
17,3,15,9,4,4,0,1,1,0,0,60,38
45,3,11,9,4,11,3,4,1,0,0,50,38
49,6,1,7,0,2,2,4,1,0,0,62,38
29,5,12,9,0,2,0,4,1,0,880,40,38
52,3,11,10,2,11,0,4,0,0,0,40,38
25,3,11,8,2,11,0,2,1,0,0,80,38
39,4,15,10,2,6,1,4,1,0,0,40,38
50,3,1,14,2,11,1,4,0,0,0,50,38
50,3,11,9,2,14,3,4,1,0,0,40,38
37,3,11,9,4,0,5,2,1,0,0,45,38
48,6,9,9,0,0,3,4,0,0,0,40,38
30,3,9,9,2,2,0,1,1,0,0,40,38
18,3,11,9,2,13,3,4,1,0,0,30,38
42,7,9,10,2,2,0,4,1,0,0,20,38
48,5,9,10,2,11,1,4,1,0,0,40,38
31,6,9,9,2,11,0,4,1,0,0,20,38
20,7,9,13,2,4,1,4,1,0,0,40,38
19,3,11,13,0,0,1,4,0,0,0,82,38
20,1,3,9,0,3,3,4,0,0,0,30,38
44,5,15,10,4,0,1,2,1,0,0,25,38
64,3,11,11,4,14,3,4,1,0,0,40,38
30,5,11,9,0,9,3,2,1,0,0,25,38
32,3,15,6,0,9,4,4,1,4650,0,40,38
35,3,9,9,4,3,0,0,1,0,0,40,38
29,1,11,10,2,10,0,4,1,0,0,30,38
60,3,15,9,2,7,0,4,0,0,0,50,38
34,4,11,10,4,2,1,4,1,0,0,30,38
21,3,11,9,4,0,0,2,1,0,0,40,38
26,3,15,10,2,2,4,4,1,0,0,50,38
39,3,15,12,4,6,3,4,0,0,0,40,39
22,6,15,13,0,0,0,4,1,0,0,40,38
38,3,9,7,4,2,3,4,0,10520,0,40,38
44,0,11,10,4,12,0,1,1,0,0,40,5
68,7,1,10,0,5,0,4,0,0,0,40,38
47,3,9,11,4,7,4,4,1,0,0,40,38
49,7,15,14,2,3,1,4,0,0,0,40,38
39,5,0,13,2,12,1,4,1,0,0,44,38
17,3,15,10,0,13,1,4,0,0,0,40,38
38,3,8,9,0,9,0,2,1,0,0,40,38
29,3,9,6,4,9,0,4,1,15024,0,40,38
27,3,9,15,0,11,1,4,1,0,0,50,38
24,3,9,9,4,2,0,4,0,0,0,40,38
44,3,11,9,2,6,2,4,1,0,0,40,38
21,3,9,13,4,4,0,4,1,0,0,24,38
40,3,11,13,6,14,0,4,1,0,0,25,38
19,3,5,10,2,7,3,4,1,0,0,50,39
51,3,8,6,0,0,4,4,1,0,0,40,38
40,3,15,14,2,5,5,4,1,0,0,40,38
60,5,9,13,2,2,3,4,0,0,0,40,38
54,3,15,9,0,7,1,4,0,0,0,15,38
23,3,9,6,2,7,3,4,0,0,0,40,38
38,3,0,9,4,3,1,4,0,0,0,70,22
58,3,8,10,4,7,1,4,1,0,0,10,38
67,1,9,4,4,3,0,4,0,0,0,36,38
51,1,14,9,2,5,4,4,1,0,0,40,38
26,5,11,3,4,14,0,4,0,0,0,40,38
65,5,9,9,0,2,0,2,1,0,0,40,38
47,3,8,9,4,0,1,2,1,0,0,40,38
48,7,11,13,4,11,3,2,0,0,1902,10,38
31,1,10,9,4,9,0,4,0,0,0,55,38
32,1,11,10,4,7,1,4,1,0,0,40,38
17,6,15,10,4,12,5,4,1,0,0,40,38
61,1,12,10,0,12,4,4,0,0,0,30,38
71,3,11,9,2,11,1,4,1,15024,0,50,38
24,3,11,10,4,0,0,4,0,99999,0,30,38
32,6,8,13,2,9,0,4,1,0,0,60,38
36,4,11,9,4,3,1,4,1,0,0,40,21
41,7,15,12,4,9,0,4,1,0,0,30,38
24,7,11,13,2,10,1,2,1,7430,0,40,38
49,3,11,10,5,7,4,2,1,0,1579,40,38
18,0,11,10,4,11,4,4,1,0,0,15,38
46,3,9,9,4,11,5,4,1,0,0,48,38
44,7,11,6,2,6,1,4,0,0,0,40,38
27,3,14,6,0,0,3,4,0,0,0,50,38
30,3,15,11,4,13,1,4,1,0,0,40,38
31,3,15,12,4,0,1,4,1,0,0,25,38
32,3,11,9,2,7,0,4,1,0,0,40,38
39,3,8,9,2,2,1,4,0,0,0,50,38
72,3,11,14,2,11,3,4,1,0,0,40,38
29,0,1,15,2,7,0,4,1,0,0,45,38
36,3,15,14,2,11,0,4,0,0,0,40,38
55,3,8,9,4,5,1,2,1,27828,0,30,38
31,3,11,9,2,10,1,4,0,0,0,40,38
45,3,15,9,4,5,0,4,0,0,0,40,38
29,3,11,9,2,3,3,4,1,0,0,40,38
34,3,9,9,4,11,1,2,1,0,0,40,38
45,3,11,9,4,12,0,4,1,0,0,40,38
59,5,15,13,4,6,1,4,1,15024,0,40,38
46,3,11,9,4,0,0,4,1,0,0,40,38
33,3,8,12,2,12,4,2,1,5178,0,40,38
36,3,15,9,0,3,0,4,0,0,0,40,38
22,3,15,10,0,4,4,4,0,0,0,80,38
28,3,9,9,2,3,4,4,1,0,0,50,38
36,3,2,10,2,3,0,4,0,0,0,40,38
42,6,11,13,2,7,4,4,1,0,0,40,38
21,3,5,13,4,7,0,4,0,0,0,35,38
55,3,11,8,2,7,1,4,1,5178,0,40,38
29,3,11,9,4,5,0,4,1,0,0,40,38
21,7,8,10,0,13,1,4,1,0,0,50,38
21,7,9,7,2,2,4,4,1,0,2415,60,38
44,3,11,10,0,3,0,4,1,0,0,40,38
33,3,15,13,0,2,3,4,1,0,0,25,38
47,3,11,10,4,6,3,4,1,0,0,40,38
38,3,0,9,3,13,4,4,1,0,0,45,38
50,3,15,10,2,0,4,4,1,0,0,40,38
45,3,9,9,6,14,0,4,1,0,0,15,38
31,3,4,10,2,9,4,4,1,0,0,40,38
50,3,11,3,0,0,1,4,1,0,0,40,38
46,3,15,9,4,11,1,4,1,0,0,40,38
38,3,8,11,0,5,0,0,1,0,2415,38,39
26,5,15,10,5,6,1,4,1,0,0,35,38
31,3,7,9,2,0,1,4,0,0,0,20,38
18,3,1,6,4,3,0,4,1,0,0,40,38
34,3,15,12,2,13,1,4,0,0,0,40,38
24,5,15,12,2,6,1,4,1,0,0,40,38
37,4,15,13,2,11,1,4,0,0,0,40,38
27,3,11,11,4,5,3,4,1,0,0,45,38
26,3,15,9,2,14,0,4,1,0,0,30,38
60,3,9,10,4,13,1,2,1,0,0,34,38
46,3,11,9,2,7,1,4,1,0,0,30,38
30,3,9,13,4,9,0,4,0,0,0,40,25
61,0,8,9,2,7,3,4,1,0,0,45,38
19,3,15,11,2,2,1,4,1,0,0,45,25
27,3,11,9,0,11,2,4,1,0,2205,30,25
46,3,6,9,2,3,1,4,0,27828,0,43,38
19,3,9,7,0,14,0,4,1,0,0,40,38
49,3,9,9,2,3,0,4,1,15020,0,42,38
31,7,11,13,2,0,1,2,1,0,0,40,38
20,3,9,9,2,9,0,4,1,0,0,40,38
51,3,11,9,4,14,0,1,1,0,0,40,25
35,3,11,11,2,6,1,4,0,0,0,60,38
52,3,15,13,2,3,0,4,0,0,0,20,38
56,3,15,9,4,10,1,4,1,0,0,50,38
21,3,9,9,0,0,0,4,0,0,0,40,38
23,3,15,14,2,14,3,4,1,0,0,40,38
21,0,11,9,2,11,3,4,1,0,0,40,38
27,3,15,9,4,0,1,4,1,0,1740,40,38
22,1,11,11,2,0,0,4,1,0,0,40,38
42,5,11,9,0,9,4,4,1,0,0,25,38
28,3,9,13,4,9,3,4,0,0,0,63,38
51,3,15,10,2,3,4,4,0,0,0,25,38
43,3,15,9,2,13,3,4,0,0,0,30,38
35,6,15,9,2,13,0,2,1,0,0,50,38
35,3,9,10,2,14,3,4,1,5178,0,40,38
32,3,10,9,2,4,0,4,1,0,0,43,38
32,3,5,9,2,2,0,4,1,0,0,40,38
29,3,5,13,0,0,0,4,1,0,0,45,38
63,3,15,6,4,11,3,4,1,0,0,80,38
65,3,4,9,2,7,3,1,0,0,0,60,38
43,3,9,9,2,9,3,4,1,15024,0,40,6
56,3,11,13,2,11,0,4,1,594,0,50,38
21,3,14,10,2,14,4,4,0,0,0,35,39
31,3,10,9,2,11,0,4,1,0,1380,40,38
56,3,3,9,2,11,0,4,0,0,0,40,25
47,3,15,13,4,14,0,4,1,0,0,40,38
26,3,1,13,2,11,0,4,1,0,0,24,2
57,3,12,10,2,14,3,4,0,1151,0,25,38
